Date,Close
1/4/2016,94.38
1/5/2016,95.95
1/6/2016,96.29
1/7/2016,94.44
1/8/2016,93.14
1/11/2016,94
1/12/2016,94.85
1/13/2016,91.7
1/14/2016,94.32
1/15/2016,91.49
1/19/2016,90.88
1/20/2016,91.99
1/21/2016,91.95
1/22/2016,93.61
1/25/2016,91.73
1/26/2016,92.64
1/27/2016,90.77
1/28/2016,92.03
1/29/2016,95.51
2/1/2016,96.37
2/2/2016,94.15
2/3/2016,95.89
2/4/2016,96.75
2/5/2016,91.79
2/8/2016,90.92
2/9/2016,90.13
2/10/2016,90.26
2/11/2016,91.41
2/12/2016,94.56
2/16/2016,95.36
2/17/2016,98.36
2/18/2016,96.47
2/19/2016,97.19
2/22/2016,98.25
2/23/2016,97.36
2/24/2016,98.83
2/25/2016,100.07
2/26/2016,95.75
2/29/2016,96.64
3/1/2016,98.86
3/2/2016,98.63
3/3/2016,97.71
3/4/2016,99.18
3/7/2016,99.38
3/8/2016,99.27
3/9/2016,99.47
3/10/2016,98.02
3/11/2016,99.96
3/14/2016,99.43
3/15/2016,99.33
3/16/2016,100.29
3/17/2016,100.83
3/18/2016,102.01
3/21/2016,102.01
3/22/2016,102.15
3/23/2016,101.7
3/24/2016,101.89
3/28/2016,102.05
3/29/2016,102.57
3/30/2016,103.18
3/31/2016,104.01
4/1/2016,104.69
4/4/2016,104.96
4/5/2016,103.9
4/6/2016,105.13
4/7/2016,103.17
4/8/2016,103.38
4/11/2016,102.62
4/12/2016,102.71
4/13/2016,103.31
4/14/2016,102.93
4/15/2016,102.83
4/18/2016,103.79
4/19/2016,103.92
4/20/2016,103.74
4/21/2016,102.3
4/22/2016,102.33
4/25/2016,102.36
4/26/2016,103.92
4/27/2016,103.51
4/28/2016,101.37
4/29/2016,100.89
5/2/2016,102.21
5/3/2016,101.4
5/4/2016,99.89
5/5/2016,100.4
5/6/2016,101.04
5/9/2016,101.67
5/10/2016,102.8
5/11/2016,102.32
5/12/2016,102.21
5/13/2016,102.03
5/16/2016,103.73
5/17/2016,102.15
5/18/2016,102.7
5/19/2016,101.42
5/20/2016,103.03
5/23/2016,104.62
5/24/2016,107.31
5/25/2016,105.02
5/26/2016,106.83
5/27/2016,107.89
5/31/2016,106.66
6/1/2016,107.2
6/2/2016,108.12
6/3/2016,107.45
6/6/2016,108.13
6/7/2016,108.45
6/8/2016,107.43
6/9/2016,107.52
6/10/2016,106.44
6/13/2016,105.66
6/14/2016,106.22
6/15/2016,106.28
6/16/2016,106.49
6/17/2016,105.36
6/20/2016,107.35
6/21/2016,107.9
6/22/2016,106.45
6/23/2016,108.95
6/24/2016,105.33
6/27/2016,104.18
6/28/2016,105.99
6/29/2016,109.29
6/30/2016,111.61
7/1/2016,111.91
7/5/2016,112.74
7/6/2016,113.28
7/7/2016,114.25
7/8/2016,115.48
7/11/2016,115.63
7/12/2016,116.34
7/13/2016,115.92
7/14/2016,116.39
7/15/2016,114.98
7/18/2016,115.25
7/19/2016,114.78
7/20/2016,114.79
7/21/2016,113.19
7/22/2016,114.06
7/25/2016,113.95
7/26/2016,113.62
7/27/2016,112.54
7/28/2016,112.04
7/29/2016,110.99
8/1/2016,110.76
8/2/2016,109.22
8/3/2016,109.83
8/4/2016,109.9
8/5/2016,111.49
8/8/2016,112.02
8/9/2016,112.13
8/10/2016,112.86
8/11/2016,113.15
8/12/2016,112.09
8/15/2016,113.32
8/16/2016,112.47
8/17/2016,112.74
8/18/2016,112.54
8/19/2016,112.8
8/22/2016,112.54
8/23/2016,113.84
8/24/2016,109.85
8/25/2016,110
8/26/2016,110.32
8/29/2016,110.76
8/30/2016,111.15
8/31/2016,111.45
9/1/2016,112.34
9/2/2016,112.07
9/6/2016,111.37
9/7/2016,111.97
9/8/2016,110.96
9/9/2016,109.25
9/12/2016,109.54
9/13/2016,106.7
9/14/2016,108.11
9/15/2016,109.76
9/16/2016,109
9/19/2016,108.98
9/20/2016,108.97
9/21/2016,110.78
9/22/2016,110.76
9/23/2016,109.9
9/26/2016,108.98
9/27/2016,110.11
9/28/2016,110.18
9/29/2016,109.31
9/30/2016,110.01
10/3/2016,109.16
10/4/2016,109.37
10/5/2016,108.61
10/6/2016,108.84
10/7/2016,107.45
10/10/2016,108.15
10/11/2016,106.99
10/12/2016,107.53
10/13/2016,106.8
10/14/2016,106.99
10/17/2016,106.88
10/18/2016,107.15
10/19/2016,108.19
10/20/2016,107.9
10/21/2016,108.45
10/24/2016,109.63
10/25/2016,108.32
10/26/2016,107.82
10/27/2016,107.31
10/28/2016,108.17
10/31/2016,108.74
11/1/2016,107.39
11/2/2016,106.2
11/3/2016,105.6
11/4/2016,105.28
11/7/2016,107.9
11/8/2016,108.35
11/9/2016,109.36
11/10/2016,109.23
11/11/2016,111.38
11/14/2016,110.01
11/15/2016,110.9
11/16/2016,110.86
11/17/2016,113.8
11/18/2016,115.98
11/21/2016,115.67
11/22/2016,116.43
11/23/2016,115.82
11/25/2016,116.07
11/28/2016,115.71
11/29/2016,116.16
11/30/2016,113.68
12/1/2016,113.37
12/2/2016,113.26
12/5/2016,114.89
12/6/2016,114.53
12/7/2016,116.61
12/8/2016,117.67
12/9/2016,116.98
12/12/2016,116.03
12/13/2016,117.79
12/14/2016,117.67
12/15/2016,117.78
12/16/2016,117.31
12/19/2016,118.15
12/20/2016,118.39
12/21/2016,117.69
12/22/2016,116.91
12/23/2016,116.92
12/27/2016,116.9
12/28/2016,115.46
12/29/2016,114.92
12/30/2016,114.61
1/3/2017,114.75
1/4/2017,114.98
1/5/2017,115.69
1/6/2017,116.86
1/9/2017,116.51
1/10/2017,116.11
1/11/2017,116.38
1/12/2017,117.04
1/13/2017,117.1
1/17/2017,116.09
1/18/2017,115.79
1/19/2017,115.95
1/20/2017,117.1
1/23/2017,117.1
1/24/2017,118.75
1/25/2017,120.01
1/26/2017,118.46
1/27/2017,118.59
1/30/2017,118.53
1/31/2017,118.58
2/1/2017,117.71
2/2/2017,117.83
2/3/2017,118.37
2/6/2017,117.89
2/7/2017,117.48
2/8/2017,116.55
2/9/2017,116.09
2/10/2017,117.53
2/13/2017,118.4
2/14/2017,118.84
2/15/2017,118.95
2/16/2017,119.24
2/17/2017,119.86
2/21/2017,119.87
2/22/2017,119.43
2/23/2017,120.7
2/24/2017,128.01
2/27/2017,125.85
2/28/2017,125.44
3/1/2017,124.53
3/2/2017,125.17
3/3/2017,126.45
3/6/2017,126.1
3/7/2017,125.4
3/8/2017,125.6
3/9/2017,124.76
3/10/2017,124.94
3/13/2017,124.95
3/14/2017,124.31
3/15/2017,124.67
3/16/2017,124.35
3/17/2017,123.92
3/20/2017,123.4
3/21/2017,121.05
3/22/2017,121.12
3/23/2017,119.99
3/24/2017,119.72
3/27/2017,118.45
3/28/2017,118
3/29/2017,117.88
3/30/2017,115.62
3/31/2017,115.99
4/3/2017,116.17
4/4/2017,116.03
4/5/2017,116.55
4/6/2017,117.81
4/7/2017,118.46
4/10/2017,118.62
4/11/2017,118.68
4/12/2017,117.83
4/13/2017,117.89
4/17/2017,118.64
4/18/2017,119.35
4/19/2017,118.97
4/20/2017,118.27
4/21/2017,118.36
4/24/2017,118.76
4/25/2017,119.08
4/26/2017,115.81
4/27/2017,125.61
4/28/2017,125.21
5/1/2017,125.52
5/2/2017,125.91
5/3/2017,125.6
5/4/2017,125.95
5/5/2017,126.14
5/8/2017,126.17
5/9/2017,126.73
5/10/2017,127.09
5/11/2017,126.88
5/12/2017,126.51
5/15/2017,127.63
5/16/2017,127.5
5/17/2017,125.35
5/18/2017,125.15
5/19/2017,125.38
5/22/2017,127.16
5/23/2017,129.15
5/24/2017,137.83
5/25/2017,138.36
5/26/2017,138.56
5/30/2017,140.05
5/31/2017,140.64
6/1/2017,141.33
6/2/2017,142.81
6/5/2017,142.65
6/6/2017,141.63
6/7/2017,141.97
6/8/2017,142.71
6/9/2017,140.21
6/12/2017,139.74
6/13/2017,139.88
6/14/2017,140.19
6/15/2017,140
6/16/2017,139.49
6/19/2017,140.75
6/20/2017,140.17
6/21/2017,140.25
6/22/2017,139.99
6/23/2017,140.4
6/26/2017,138.4
6/27/2017,135.29
6/28/2017,135.37
6/29/2017,133.1
6/30/2017,132.81
7/3/2017,131.68
7/5/2017,131.98
7/6/2017,131.1
7/7/2017,131.9
7/10/2017,131.87
7/11/2017,132.36
7/12/2017,133.48
7/13/2017,132.4
7/14/2017,132.88
7/17/2017,133.07
7/18/2017,133.65
7/19/2017,135.19
7/20/2017,135.35
7/21/2017,134.84
7/24/2017,136.25
7/25/2017,136.84
7/26/2017,137.14
7/27/2017,136.87
7/28/2017,135.64
7/31/2017,137.21
8/1/2017,137.43
8/2/2017,136.53
8/3/2017,137.14
8/4/2017,136.9
8/7/2017,136.65
8/8/2017,136.18
8/9/2017,136.82
8/10/2017,135.16
8/11/2017,136.6
8/14/2017,138.89
8/15/2017,137.47
8/16/2017,137.92
8/17/2017,134.46
8/18/2017,134.11
8/21/2017,135.91
8/22/2017,138.15
8/23/2017,135.52
8/24/2017,135.33
8/25/2017,137.35
8/28/2017,137.9
8/29/2017,138.01
8/30/2017,139.97
8/31/2017,141.45
9/1/2017,141.9
9/5/2017,141.54
9/6/2017,141.14
9/7/2017,141
9/8/2017,141.56
9/11/2017,142.64
9/12/2017,142.38
9/13/2017,142.06
9/14/2017,142.08
9/15/2017,142.13
9/18/2017,143.8
9/19/2017,145.34
9/20/2017,144.97
9/21/2017,144.49
9/22/2017,146.32
9/25/2017,144.74
9/26/2017,144.77
9/27/2017,144.36
9/28/2017,142.31
9/29/2017,142.14
10/2/2017,141.74
10/3/2017,141.85
10/4/2017,142.67
10/5/2017,142.86
10/6/2017,144.18
10/9/2017,143.96
10/10/2017,144.18
10/11/2017,143.66
10/12/2017,145.86
10/13/2017,145.65
10/16/2017,144.74
10/17/2017,145.5
10/18/2017,145.77
10/19/2017,146.62
10/20/2017,147.97
10/23/2017,147.32
10/24/2017,148.62
10/25/2017,149.46
10/26/2017,151.33
10/27/2017,153.46
10/30/2017,151.45
10/31/2017,151.02
11/1/2017,151.36
11/2/2017,152.15
11/3/2017,153.64
11/6/2017,152.68
11/7/2017,152.51
11/8/2017,152.96
11/9/2017,152.41
11/10/2017,153.3
11/13/2017,154.89
11/14/2017,155.21
11/15/2017,153.86
11/16/2017,155.65
11/17/2017,156.55
11/20/2017,157.78
11/21/2017,151.79
11/22/2017,151.63
11/24/2017,153.91
11/27/2017,154.77
11/28/2017,155.79
11/29/2017,154.22
11/30/2017,157.22
12/1/2017,156.44
12/4/2017,154.54
12/5/2017,154.47
12/6/2017,156.19
12/7/2017,155.56
12/8/2017,155.23
12/11/2017,155.68
12/12/2017,155.85
12/13/2017,156.48
12/14/2017,156.19
12/15/2017,159.65
12/18/2017,161.13
12/19/2017,159.88
12/20/2017,159.35
12/21/2017,158.62
12/22/2017,158.5
12/26/2017,158.93
12/27/2017,158.73
12/28/2017,158.58
12/29/2017,157.78
1/2/2018,158.72
1/3/2018,159.16
1/4/2018,162.01
1/5/2018,164.11
1/8/2018,164.21
1/9/2018,164.85
1/10/2018,163.51
1/11/2018,163
1/12/2018,164.51
1/16/2018,162.29
1/17/2018,164.29
1/18/2018,164.4
1/19/2018,167.74
1/22/2018,168.67
1/23/2018,168.46
1/24/2018,167.55
1/25/2018,167.82
1/26/2018,170.44
1/29/2018,169.21
1/30/2018,168.5
1/31/2018,167.9
2/1/2018,165.65
2/2/2018,163.42
2/5/2018,157.65
2/6/2018,160.87
2/7/2018,161.29
2/8/2018,152.75
2/9/2018,157.06
2/12/2018,159.38
2/13/2018,159.36
2/14/2018,163.9
2/15/2018,169.31
2/16/2018,171.69
2/20/2018,173.57
2/21/2018,173.32
2/22/2018,172.1
2/23/2018,171.78
2/26/2018,172.67
2/27/2018,170.35
2/28/2018,166.86
3/1/2018,164.34
3/2/2018,168.84
3/5/2018,170.18
